614,726,614,338,242
42,53,614,337,239
265,577,614,338,236
406,831,614,337,237
65,78,614,337,237
197,531,615,338,236
421,928,616,338,236
84,125,616,338,236
164,461,616,339,236
419,955,617,339,235
104,173,616,339,236
127,377,616,339,237
417,978,616,338,237
145,261,616,339,237
72,270,615,338,237
415,983,616,338,237
190,354,616,338,235
36,189,615,339,237
414,931,615,338,237
229,438,614,338,236
30,113,615,338,237
391,837,614,338,6
400,975,614,338,235
322,554,613,338,236
29,0,611,337,235
384,1016,610,337,8
382,981,611,336,9
372,930,611,336,10
361,948,612,336,237
390,721,612,337,236
30,0,612,337,54
92,76,612,337,237
108,444,612,336,236
421,1023,612,337,236
119,130,611,336,236
65,362,611,336,236
419,1023,611,336,235
147,196,611,336,236
31,283,611,336,236
416,1023,611,336,236
181,268,611,336,236
27,190,610,336,236
415,1023,611,336,237
227,366,611,336,238
27,79,610,335,236
406,1023,610,335,237
279,479,611,335,237
28,9,610,335,235
392,1023,610,336,238
322,570,610,335,236
29,0,609,335,238
369,989,610,335,235
350,632,609,335,237
31,0,610,335,236
352,956,610,335,236
383,703,610,334,237
33,0,610,335,235
329,908,611,335,236
419,782,611,335,102
372,995,610,335,252
423,799,611,335,236
35,0,609,335,237
289,825,610,335,236
424,877,610,335,235
36,0,609,335,235
267,779,609,335,238
423,940,609,334,236
40,0,609,335,235
229,700,609,334,239
423,1007,609,334,236
56,0,608,334,236
188,612,608,334,235
424,1023,609,334,236
69,24,608,334,236
145,524,609,334,235
422,1023,609,334,238
94,75,609,334,236
108,443,609,334,38
27,106,609,334,236
409,1023,609,334,253
351,637,608,334,253
35,0,607,334,237
290,827,607,333,236
422,883,608,334,235
37,0,607,334,16
40,0,607,333,235
227,693,608,333,236
422,1023,611,333,238
38,0,613,335,236
160,554,612,336,238
426,1023,611,335,83
340,929,610,335,235
427,982,610,335,235
31,0,609,334,236
309,863,609,335,236
426,1023,609,335,235
31,0,609,335,236
272,790,608,335,235
423,1023,607,334,237
31,0,606,333,235
232,712,607,333,235
425,1023,607,333,235
32,0,606,333,235
200,638,607,333,236
424,1023,607,333,235
41,0,606,334,108
425,1023,607,333,237
32,0,606,334,236
206,655,605,333,236
425,1023,605,333,237
42,0,604,333,237
146,521,603,332,237
426,1023,603,331,236
57,1,602,331,76
426,838,603,331,236
29,0,601,331,236
352,960,602,331,237
425,948,602,330,238
29,0,603,331,238
302,857,603,331,235
425,1023,602,331,235
29,0,603,331,237
269,787,603,332,235
426,1023,604,332,236
34,0,603,332,235
231,707,603,332,237
425,1023,604,332,94
345,941,604,332,236
424,964,604,333,236
26,0,602,332,236
318,887,602,332,235
424,1023,600,331,235
29,0,600,331,235
293,840,600,331,237
424,1023,599,330,237
31,0,597,330,237
248,745,598,330,234
425,1023,598,330,235
34,0,598,330,238
203,651,598,330,237
425,1023,598,330,237
44,0,597,329,235
153,538,597,329,238
423,1023,597,329,235
56,0,596,329,236
107,445,596,329,234
422,1023,596,329,235
64,17,596,329,236
76,397,595,329,237
424,1023,596,329,236
87,60,596,329,235
34,303,595,328,236
423,1023,596,328,237
108,110,595,328,236
24,182,595,328,236
421,1023,594,328,235
137,172,594,328,236
24,66,593,328,235
420,1023,593,328,236
170,245,593,328,235
25,0,591,328,236
418,1023,593,328,237
208,325,593,328,235
23,0,592,328,238
416,1023,593,328,236
245,406,592,328,239
24,0,592,328,236
413,1023,592,328,237
303,530,592,328,235
25,0,592,328,235
405,1023,592,328,238
347,624,592,328,235
26,0,592,328,236
395,1023,592,329,236
385,702,592,329,97
415,1023,592,329,238
261,430,593,329,237
25,0,592,329,235
411,1023,593,329,238
279,484,593,329,236
30,58,593,329,236
336,695,593,330,236
186,366,592,329,235
72,137,592,329,236
309,641,592,329,235
197,390,596,329,236
64,117,591,329,237
301,624,592,329,236
216,429,592,329,236
57,98,591,329,236
294,607,591,329,236
229,458,592,329,235
54,93,591,329,236
284,587,592,329,235
243,482,592,329,237
50,88,592,329,235
278,577,591,328,238
260,523,591,329,236
46,88,591,328,236
270,559,592,328,235
263,533,595,331,236
47,76,595,332,236
277,585,592,332,235
359,1023,590,332,235
57,95,588,332,235
253,535,587,332,235
347,734,587,332,235
70,21,587,332,237
228,487,586,332,8
223,462,586,332,235
419,855,585,332,235
78,158,584,331,239
166,419,586,332,9
157,398,585,332,236
418,931,587,333,235
120,176,588,334,239
91,308,588,335,237
415,986,588,335,235
168,270,588,335,235
46,245,587,335,237
411,1006,587,335,236
203,344,587,335,235
30,175,586,336,9
29,159,585,336,235
408,995,585,336,9
406,992,585,336,235
245,438,584,336,238
29,82,584,336,237
386,949,584,336,236
290,526,584,336,235
44,43,584,335,236
374,771,585,335,235
427,917,586,336,7
427,951,587,336,235
22,0,587,337,237
406,1023,588,337,235
427,1023,587,337,236
27,0,586,337,235
300,849,586,337,235
422,901,585,336,237
27,0,585,336,237
336,932,586,337,236
431,1023,585,336,238
31,0,584,335,237
286,826,584,334,237
427,1023,583,334,237
29,0,583,334,236
228,704,583,333,237
427,1023,582,333,236
32,0,582,333,235
179,600,582,332,236
426,1023,582,333,8
425,1023,582,333,235
35,0,581,332,235
116,470,581,332,236
425,1023,581,332,235
39,0,580,332,237
58,360,580,332,8
47,347,580,332,236
425,1023,580,332,236
48,0,580,332,235
24,277,580,331,238
424,1023,579,331,235
62,4,580,331,235
21,149,579,331,100
34,0,579,331,235
167,581,579,331,238
425,1023,579,331,236
36,0,579,331,235
101,445,578,331,237
425,1023,579,331,236
